aligned_key,status,step4_config_id,deepseek_config_id,metric_deltas
"[""gb300"",""primary"",16384,1,0,1000,""agg"",""vllm"",""SOL"",0]",paired,agg_patternA|tp=2|pp=1|dp=2|moe_tp=1|moe_ep=4|cp=1|bs=156|ctx_tokens=16384,agg_patternA|tp=4|pp=1|dp=4|moe_tp=1|moe_ep=16|cp=1|bs=1996|ctx_tokens=16384,"{""ranking_metric_value"":{""absolute_delta"":-7562878.461186346,""deepseek_value"":8914346.540325223,""polarity"":""higher_is_better"",""relative_delta"":-0.8483940384160148,""status"":""computed"",""step4_value"":1351468.079138877},""request_latency"":{""absolute_delta"":28.472647909748503,""deepseek_value"":917.1301522794208,""polarity"":""lower_is_better"",""relative_delta"":0.03104537326461575,""status"":""computed"",""step4_value"":945.6028001891693},""tpot"":{""absolute_delta"":11.53995110113857,""deepseek_value"":409.7650761397104,""polarity"":""lower_is_better"",""relative_delta"":0.0281623588077672,""status"":""computed"",""step4_value"":421.305027240849},""ttft"":{""absolute_delta"":28.472647909748503,""deepseek_value"":917.1301522794208,""polarity"":""lower_is_better"",""relative_delta"":0.03104537326461575,""status"":""computed"",""step4_value"":945.6028001891693}}"
"[""gb300"",""primary"",16384,1,0,1000,""disagg"",""vllm"",""SOL"",0]",paired,disagg_AA|p_tp=1|p_pp=1|p_dp=4|p_moe_tp=1|p_moe_ep=4|p_cp=1|p_bs=1|p_workers=15|d_tp=1|d_pp=1|d_dp=4|d_moe_tp=1|d_moe_ep=4|d_cp=1|d_bs=1|d_workers=1,disagg_AA|p_tp=1|p_pp=1|p_dp=8|p_moe_tp=1|p_moe_ep=8|p_cp=1|p_bs=1|p_workers=7|d_tp=1|d_pp=1|d_dp=4|d_moe_tp=1|d_moe_ep=4|d_cp=1|d_bs=1|d_workers=2,"{""ranking_metric_value"":{""absolute_delta"":1964.8387510027715,""deepseek_value"":20449.880247806446,""polarity"":""higher_is_better"",""relative_delta"":0.09608069715780021,""status"":""computed"",""step4_value"":22414.718998809218},""request_latency"":{""absolute_delta"":-15.766999999999939,""deepseek_value"":701.031,""polarity"":""lower_is_better"",""relative_delta"":-0.02249115944943938,""status"":""computed"",""step4_value"":685.264},""tpot"":{""absolute_delta"":0.0,""deepseek_value"":0.0,""polarity"":""lower_is_better"",""relative_delta"":null,""status"":""zero_baseline_both_zero"",""step4_value"":0.0},""ttft"":{""absolute_delta"":-15.766999999999939,""deepseek_value"":701.031,""polarity"":""lower_is_better"",""relative_delta"":-0.02249115944943938,""status"":""computed"",""step4_value"":685.264}}"
"[""gb300"",""primary"",16384,1,0,200,""disagg"",""vllm"",""SOL"",0]",paired,disagg_AA|p_tp=8|p_pp=1|p_dp=1|p_moe_tp=1|p_moe_ep=8|p_cp=1|p_bs=1|p_workers=7|d_tp=1|d_pp=1|d_dp=4|d_moe_tp=1|d_moe_ep=4|d_cp=1|d_bs=1|d_workers=2,disagg_AA|p_tp=8|p_pp=1|p_dp=1|p_moe_tp=1|p_moe_ep=8|p_cp=1|p_bs=1|p_workers=7|d_tp=1|d_pp=1|d_dp=4|d_moe_tp=1|d_moe_ep=4|d_cp=1|d_bs=1|d_workers=2,"{""ranking_metric_value"":{""absolute_delta"":1409.1261974131394,""deepseek_value"":9215.736693237337,""polarity"":""higher_is_better"",""relative_delta"":0.15290434658871926,""status"":""computed"",""step4_value"":10624.862890650476},""request_latency"":{""absolute_delta"":-25.788999999999987,""deepseek_value"":194.45,""polarity"":""lower_is_better"",""relative_delta"":-0.13262535356132676,""status"":""computed"",""step4_value"":168.661},""tpot"":{""absolute_delta"":0.0,""deepseek_value"":0.0,""polarity"":""lower_is_better"",""relative_delta"":null,""status"":""zero_baseline_both_zero"",""step4_value"":0.0},""ttft"":{""absolute_delta"":-25.788999999999987,""deepseek_value"":194.45,""polarity"":""lower_is_better"",""relative_delta"":-0.13262535356132676,""status"":""computed"",""step4_value"":168.661}}"
"[""gb300"",""primary"",16384,1,0,2000,""agg"",""vllm"",""SOL"",0]",paired,agg_patternA|tp=1|pp=1|dp=8|moe_tp=1|moe_ep=8|cp=1|bs=229|ctx_tokens=16384,agg_patternA|tp=2|pp=1|dp=8|moe_tp=1|moe_ep=16|cp=1|bs=1633|ctx_tokens=16384,"{""ranking_metric_value"":{""absolute_delta"":-7602983.712690513,""deepseek_value"":9718746.339774225,""polarity"":""higher_is_better"",""relative_delta"":-0.7823008695653576,""status"":""computed"",""step4_value"":2115762.6270837123},""request_latency"":{""absolute_delta"":396.8583406727573,""deepseek_value"":1376.4672450861365,""polarity"":""lower_is_better"",""relative_delta"":0.2883165887815389,""status"":""computed"",""step4_value"":1773.3255857588938},""tpot"":{""absolute_delta"":182.6303815233665,""deepseek_value"":639.4336225430683,""polarity"":""lower_is_better"",""relative_delta"":0.2856127283345437,""status"":""computed"",""step4_value"":822.0640040664348},""ttft"":{""absolute_delta"":396.8583406727573,""deepseek_value"":1376.4672450861365,""polarity"":""lower_is_better"",""relative_delta"":0.2883165887815389,""status"":""computed"",""step4_value"":1773.3255857588938}}"
"[""gb300"",""primary"",16384,1,0,2000,""disagg"",""vllm"",""SOL"",0]",paired,disagg_AA|p_tp=1|p_pp=1|p_dp=4|p_moe_tp=1|p_moe_ep=4|p_cp=1|p_bs=2|p_workers=15|d_tp=1|d_pp=1|d_dp=4|d_moe_tp=1|d_moe_ep=4|d_cp=1|d_bs=1|d_workers=1,disagg_AA|p_tp=1|p_pp=1|p_dp=8|p_moe_tp=1|p_moe_ep=8|p_cp=1|p_bs=1|p_workers=7|d_tp=1|d_pp=1|d_dp=4|d_moe_tp=1|d_moe_ep=4|d_cp=1|d_bs=1|d_workers=2,"{""ranking_metric_value"":{""absolute_delta"":1967.0141512536793,""deepseek_value"":20449.880247806446,""polarity"":""higher_is_better"",""relative_delta"":0.09618707432111594,""status"":""computed"",""step4_value"":22416.894399060126},""request_latency"":{""absolute_delta"":669.364,""deepseek_value"":701.031,""polarity"":""lower_is_better"",""relative_delta"":0.9548279605324159,""status"":""computed"",""step4_value"":1370.395},""tpot"":{""absolute_delta"":0.0,""deepseek_value"":0.0,""polarity"":""lower_is_better"",""relative_delta"":null,""status"":""zero_baseline_both_zero"",""step4_value"":0.0},""ttft"":{""absolute_delta"":669.364,""deepseek_value"":701.031,""polarity"":""lower_is_better"",""relative_delta"":0.9548279605324159,""status"":""computed"",""step4_value"":1370.395}}"
"[""gb300"",""primary"",16384,1,0,500,""agg"",""vllm"",""SOL"",0]",paired,agg_patternA|tp=8|pp=1|dp=1|moe_tp=1|moe_ep=8|cp=1|bs=160|ctx_tokens=16384,agg_patternA|tp=8|pp=1|dp=1|moe_tp=1|moe_ep=8|cp=1|bs=484|ctx_tokens=16384,"{""ranking_metric_value"":{""absolute_delta"":-1326553.3732767806,""deepseek_value"":1982473.3251880198,""polarity"":""higher_is_better"",""relative_delta"":-0.6691405914129861,""status"":""computed"",""step4_value"":655919.9519112392},""request_latency"":{""absolute_delta"":-0.42449279323142264,""deepseek_value"":499.9976480924355,""polarity"":""lower_is_better"",""relative_delta"":-0.0008489895799528758,""status"":""computed"",""step4_value"":499.5731552992041},""tpot"":{""absolute_delta"":-13.957941773234268,""deepseek_value"":201.19882404621774,""polarity"":""lower_is_better"",""relative_delta"":-0.06937387352735205,""status"":""computed"",""step4_value"":187.24088227298347},""ttft"":{""absolute_delta"":-0.42449279323142264,""deepseek_value"":499.9976480924355,""polarity"":""lower_is_better"",""relative_delta"":-0.0008489895799528758,""status"":""computed"",""step4_value"":499.5731552992041}}"
"[""gb300"",""primary"",16384,1,0,500,""disagg"",""vllm"",""SOL"",0]",paired,disagg_AA|p_tp=2|p_pp=1|p_dp=2|p_moe_tp=1|p_moe_ep=4|p_cp=1|p_bs=1|p_workers=15|d_tp=1|d_pp=1|d_dp=4|d_moe_tp=1|d_moe_ep=4|d_cp=1|d_bs=1|d_workers=1,disagg_AA|p_tp=2|p_pp=1|p_dp=2|p_moe_tp=1|p_moe_ep=4|p_cp=1|p_bs=1|p_workers=15|d_tp=1|d_pp=1|d_dp=4|d_moe_tp=1|d_moe_ep=4|d_cp=1|d_bs=1|d_workers=1,"{""ranking_metric_value"":{""absolute_delta"":-1195.871270074509,""deepseek_value"":20312.57025425096,""polarity"":""higher_is_better"",""relative_delta"":-0.05887345890283089,""status"":""computed"",""step4_value"":19116.69898417645},""request_latency"":{""absolute_delta"":23.651999999999987,""deepseek_value"":378.091,""polarity"":""lower_is_better"",""relative_delta"":0.06255636870488847,""status"":""computed"",""step4_value"":401.743},""tpot"":{""absolute_delta"":0.0,""deepseek_value"":0.0,""polarity"":""lower_is_better"",""relative_delta"":null,""status"":""zero_baseline_both_zero"",""step4_value"":0.0},""ttft"":{""absolute_delta"":23.651999999999987,""deepseek_value"":378.091,""polarity"":""lower_is_better"",""relative_delta"":0.06255636870488847,""status"":""computed"",""step4_value"":401.743}}"
"[""gb300"",""primary"",16384,1,0,5000,""agg"",""vllm"",""SOL"",0]",paired,agg_patternA|tp=1|pp=1|dp=8|moe_tp=1|moe_ep=8|cp=1|bs=229|ctx_tokens=16384,agg_patternA|tp=2|pp=1|dp=8|moe_tp=1|moe_ep=16|cp=1|bs=1633|ctx_tokens=16384,"{""ranking_metric_value"":{""absolute_delta"":-7602983.712690513,""deepseek_value"":9718746.339774225,""polarity"":""higher_is_better"",""relative_delta"":-0.7823008695653576,""status"":""computed"",""step4_value"":2115762.6270837123},""request_latency"":{""absolute_delta"":396.8583406727573,""deepseek_value"":1376.4672450861365,""polarity"":""lower_is_better"",""relative_delta"":0.2883165887815389,""status"":""computed"",""step4_value"":1773.3255857588938},""tpot"":{""absolute_delta"":182.6303815233665,""deepseek_value"":639.4336225430683,""polarity"":""lower_is_better"",""relative_delta"":0.2856127283345437,""status"":""computed"",""step4_value"":822.0640040664348},""ttft"":{""absolute_delta"":396.8583406727573,""deepseek_value"":1376.4672450861365,""polarity"":""lower_is_better"",""relative_delta"":0.2883165887815389,""status"":""computed"",""step4_value"":1773.3255857588938}}"
"[""gb300"",""primary"",16384,1,0,5000,""disagg"",""vllm"",""SOL"",0]",paired,disagg_AA|p_tp=1|p_pp=1|p_dp=4|p_moe_tp=1|p_moe_ep=4|p_cp=1|p_bs=7|p_workers=15|d_tp=1|d_pp=1|d_dp=4|d_moe_tp=1|d_moe_ep=4|d_cp=1|d_bs=1|d_workers=1,disagg_AA|p_tp=1|p_pp=1|p_dp=8|p_moe_tp=1|p_moe_ep=8|p_cp=1|p_bs=1|p_workers=7|d_tp=1|d_pp=1|d_dp=4|d_moe_tp=1|d_moe_ep=4|d_cp=1|d_bs=1|d_workers=2,"{""ranking_metric_value"":{""absolute_delta"":1968.5542440559257,""deepseek_value"":20449.880247806446,""polarity"":""higher_is_better"",""relative_delta"":0.09626238492360278,""status"":""computed"",""step4_value"":22418.434491862372},""request_latency"":{""absolute_delta"":4095.022,""deepseek_value"":701.031,""polarity"":""lower_is_better"",""relative_delta"":5.841427839853017,""status"":""computed"",""step4_value"":4796.053},""tpot"":{""absolute_delta"":0.0,""deepseek_value"":0.0,""polarity"":""lower_is_better"",""relative_delta"":null,""status"":""zero_baseline_both_zero"",""step4_value"":0.0},""ttft"":{""absolute_delta"":4095.022,""deepseek_value"":701.031,""polarity"":""lower_is_better"",""relative_delta"":5.841427839853017,""status"":""computed"",""step4_value"":4796.053}}"
"[""gb300"",""primary"",4096,1,0,1000,""agg"",""vllm"",""SOL"",0]",paired,agg_patternA|tp=1|pp=1|dp=8|moe_tp=1|moe_ep=8|cp=1|bs=934|ctx_tokens=4096,agg_patternA|tp=1|pp=1|dp=8|moe_tp=1|moe_ep=8|cp=1|bs=2842|ctx_tokens=4096,"{""ranking_metric_value"":{""absolute_delta"":-9430674.292069603,""deepseek_value"":17173713.065674055,""polarity"":""higher_is_better"",""relative_delta"":-0.5491342644427404,""status"":""computed"",""step4_value"":7743038.773604454},""request_latency"":{""absolute_delta"":-183.75063379879794,""deepseek_value"":677.828490291194,""polarity"":""lower_is_better"",""relative_delta"":-0.27108720927304036,""status"":""computed"",""step4_value"":494.0778564923961},""tpot"":{""absolute_delta"":-116.67531689939898,""deepseek_value"":290.114245145597,""polarity"":""lower_is_better"",""relative_delta"":-0.40217024448711297,""status"":""computed"",""step4_value"":173.43892824619803},""ttft"":{""absolute_delta"":-183.75063379879794,""deepseek_value"":677.828490291194,""polarity"":""lower_is_better"",""relative_delta"":-0.27108720927304036,""status"":""computed"",""step4_value"":494.0778564923961}}"
"[""gb300"",""primary"",4096,1,0,1000,""disagg"",""vllm"",""SOL"",0]",paired,disagg_AA|p_tp=1|p_pp=1|p_dp=4|p_moe_tp=1|p_moe_ep=4|p_cp=1|p_bs=10|p_workers=15|d_tp=1|d_pp=1|d_dp=4|d_moe_tp=1|d_moe_ep=4|d_cp=1|d_bs=1|d_workers=1,disagg_AA|p_tp=1|p_pp=1|p_dp=4|p_moe_tp=1|p_moe_ep=4|p_cp=1|p_bs=2|p_workers=15|d_tp=1|d_pp=1|d_dp=4|d_moe_tp=1|d_moe_ep=4|d_cp=1|d_bs=1|d_workers=1,"{""ranking_metric_value"":{""absolute_delta"":12132.152964289678,""deepseek_value"":28106.84994675069,""polarity"":""higher_is_better"",""relative_delta"":0.43164399380487045,""status"":""computed"",""step4_value"":40239.00291104037},""request_latency"":{""absolute_delta"":681.0550000000001,""deepseek_value"":273.243,""polarity"":""lower_is_better"",""relative_delta"":2.4924883711568095,""status"":""computed"",""step4_value"":954.298},""tpot"":{""absolute_delta"":0.0,""deepseek_value"":0.0,""polarity"":""lower_is_better"",""relative_delta"":null,""status"":""zero_baseline_both_zero"",""step4_value"":0.0},""ttft"":{""absolute_delta"":681.0550000000001,""deepseek_value"":273.243,""polarity"":""lower_is_better"",""relative_delta"":2.4924883711568095,""status"":""computed"",""step4_value"":954.298}}"
"[""gb300"",""primary"",4096,1,0,200,""agg"",""vllm"",""SOL"",0]",paired,agg_patternA|tp=2|pp=1|dp=2|moe_tp=1|moe_ep=4|cp=1|bs=7|ctx_tokens=4096,agg_patternA|tp=8|pp=1|dp=1|moe_tp=1|moe_ep=8|cp=1|bs=158|ctx_tokens=4096,"{""ranking_metric_value"":{""absolute_delta"":-332467.6475689674,""deepseek_value"":404714.7927922588,""polarity"":""higher_is_better"",""relative_delta"":-0.8214862750016256,""status"":""computed"",""step4_value"":72247.14522329136},""request_latency"":{""absolute_delta"":-1.4539854432148331,""deepseek_value"":199.88397123285813,""polarity"":""lower_is_better"",""relative_delta"":-0.007274147267771605,""status"":""computed"",""step4_value"":198.4299857896433},""tpot"":{""absolute_delta"":17.596469412077646,""deepseek_value"":55.6886748036649,""polarity"":""lower_is_better"",""relative_delta"":0.31597931669438134,""status"":""computed"",""step4_value"":73.28514421574255},""ttft"":{""absolute_delta"":-1.4539854432148331,""deepseek_value"":199.88397123285813,""polarity"":""lower_is_better"",""relative_delta"":-0.007274147267771605,""status"":""computed"",""step4_value"":198.4299857896433}}"
